conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,label
"1,97644E+18",Thu Oct 09 23:54:56 +0000 2025,0,Nggak itu lebih ke Ormas pemalak instansi pemalak sam regulasi pemalak!!! Ditambah legislatif banyak yg bodoh,"1,97644E+18",,,in,,0,0,0,https://x.com/undefined/status/1976436246126919777,181951692,,negative
"1,97628E+18",Thu Oct 09 23:52:21 +0000 2025,0,@Krist888 @ch_chotimah2 @prabowo @Gerindra Bener sih emg kntl bgt Pemerintah. Yg bikin makin payah antar ormas agama (sekalipun seagama) sering jg saling sabotase. Provokasi ke Forum Kerukunan Umat Beragama (Fkub) biar ga ngasih rekomendasi sbg syarat IMB. Trus Pemerintahnya diem bae. Jnck emg.,"1,97644E+18",,Krist888,in,,0,0,0,https://x.com/undefined/status/1976435597347856538,"1,5663E+18",,negative
"1,97643E+18",Thu Oct 09 23:36:57 +0000 2025,1,Dih apa ini ormas cabang inter kah nitip rokok anying najis,"1,97643E+18",,,in,,0,0,0,https://x.com/undefined/status/1976431722603610240,"8,70651E+17",,negative
"1,9762E+18",Thu Oct 09 23:27:43 +0000 2025,1,@noelaaee @Norkaf_ @IDWTR @zenrs Ormas masih sakit hati ga abis abis wkwkwkwkw Puasa nyaris 8 tahun emang bikin tantrum sih https://t.co/msQKwdHL34,"1,97643E+18",https://pbs.twimg.com/ext_tw_video_thumb/1976429369074786304/pu/img/jJU0AzA2kYNwSLpz.jpg,noelaaee,in,,0,1,0,https://x.com/undefined/status/1976429397944172711,1456928288,,negative
"1,97643E+18",Thu Oct 09 23:22:29 +0000 2025,0,Ormas PPI Tunisia PPI lain begini nggak? @ppi,"1,97643E+18",,,in,,0,1,1,https://x.com/undefined/status/1976428079947055301,77976639,,neutral
"1,97624E+18",Thu Oct 09 23:13:31 +0000 2025,0,@BudiBukanIntel Yg Sholawat kek DJ itu bukan ya kek zionis versi lite. Ormas Nambang ,"1,97643E+18",,BudiBukanIntel,in,,0,0,0,https://x.com/undefined/status/1976425824825094401,"1,73365E+18",,negative
"1,97642E+18",Thu Oct 09 22:58:43 +0000 2025,7,Kebiasan pungli ormas goes international.,"1,97642E+18",,,in,,0,2,5,https://x.com/undefined/status/1976422099125411852,18249099,,negative
"1,97628E+18",Thu Oct 09 22:54:23 +0000 2025,1,@ch_chotimah2 @prabowo @Gerindra Anda lihatnya ormasnya bos....kalo bukan ormas itu beda lagi acaranya....,"1,97642E+18",,ch_chotimah2,in,,0,0,0,https://x.com/undefined/status/1976421010770624597,"1,3033E+18",,negative
"1,97624E+18",Thu Oct 09 22:45:38 +0000 2025,0,@dbsantosa @persib @Jayyyy5__ Moal jauh. Palingan oge ti ormas nasbung jeung kadal hejo.,"1,97642E+18",,dbsantosa,in,,0,0,0,https://x.com/undefined/status/1976418806064128183,"1,53835E+18",,negative
"1,97628E+18",Thu Oct 09 22:40:41 +0000 2025,0,@ilhampurnama887 Ormas penggarong uang negara dikit2 atas nama umat.,"1,97642E+18",,ilhampurnama887,in,,0,1,0,https://x.com/undefined/status/1976417564046799027,85495565,,negative
"1,97605E+18",Thu Oct 09 22:33:30 +0000 2025,0,@agama_nusantara Ormas yang sudah terpapar kebencian kronis akut. https://t.co/2uqhnudHBZ,"1,97642E+18",https://pbs.twimg.com/media/G22joM1WwAAJDs1.jpg,agama_nusantara,in,,0,0,0,https://x.com/undefined/status/1976415755483873507,"1,95545E+18",,negative
"1,9764E+18",Thu Oct 09 21:39:00 +0000 2025,0,bejirlah ormas roblox,"1,9764E+18",,,in,,0,0,0,https://x.com/undefined/status/1976402039715528709,"1,73251E+18",,negative
"1,97628E+18",Thu Oct 09 21:25:54 +0000 2025,1,@immakhab Ormas narsistik semuanya diklaim,"1,9764E+18",,immakhab,in,,0,0,1,https://x.com/undefined/status/1976398741302317209,"1,54172E+18",,negative
"1,97583E+18",Thu Oct 09 19:50:17 +0000 2025,0,@VRchama @KemenperinRI udah pasti ormas yg paling beban. si paling nkri harga mati,"1,97637E+18",,VRchama,in,,0,0,0,https://x.com/undefined/status/1976374680161484826,93490178,,negative
"1,97637E+18",Thu Oct 09 19:40:42 +0000 2025,6, Biang kerok urusan fiskal selama hampir 13 tahun ini ya Sri Mulyani dimulai dari awal SBY + Jokowi 10 tahun + awal Pak Prabowo. Hantu macam apa SMI ini? Bukan ormas bukan aktivis bukan parpol. Sandarannya USAID World Bank IMF #JokowiBiangKorupsi #JokowiBiangKorupsi https://t.co/If8aPtjBCJ,"1,97637E+18",https://pbs.twimg.com/amplify_video_thumb/1976372183917264896/img/vyE1-10BKcm-2mCH.jpg,,in,,0,0,2,https://x.com/undefined/status/1976372267446829529,"1,60406E+18",,negative
"1,97601E+18",Thu Oct 09 17:59:11 +0000 2025,0,@Violance21 @ZonaBayern Ormas biru aneh ngapain banggain liga lokal yg ga karuan orang yg di kritik mainnya yg cuma jd joki strava di lapangan,"1,97635E+18",,Violance21,in,,0,0,0,https://x.com/undefined/status/1976346718980669919,2152358720,,negative
"1,97598E+18",Thu Oct 09 17:58:09 +0000 2025,0,@vitasubiyakti Sesuk ijin ormas po pecalang wae po kak,"1,97635E+18",,vitasubiyakti,in,,0,0,0,https://x.com/undefined/status/1976346459382612282,"9,35431E+17",,neutral
"1,97634E+18",Thu Oct 09 17:21:29 +0000 2025,0,kalau tau dalam nya pesantren itu masukin anak ke pesantren NU jatim atau beberapa pesantren ormas lain pun ada yg dijadiin PEMBANTU rumah tangga dengan dalih nyari berkah kiyai WUEKKK ortunya masukin pesantren dan aware anaknya di babuin di kasarin aja udh stupid. Cult shit,"1,97634E+18",,,in,,0,0,0,https://x.com/undefined/status/1976337233776136698,"1,55803E+18",,negative
"1,97592E+18",Thu Oct 09 16:41:18 +0000 2025,0,@telescopqe Ormas Newcastle kemana ya kok ngak bersuara,"1,97633E+18",,telescopqe,in,,0,0,0,https://x.com/undefined/status/1976327120063479855,"1,37965E+18",,negative
"1,97592E+18",Thu Oct 09 16:35:06 +0000 2025,0,@NarasiNewsroom Mestinya ngikut ormas NU dong yg selalu mesra sama tokoh-tokoh Israel ...,"1,97633E+18",,NarasiNewsroom,in,,0,0,0,https://x.com/undefined/status/1976325559631347719,"1,74381E+18",,neutral
